,rank,team,avg,obp,year
0,1,Detroit Tigers,0.286,0.366,1940
1,2,Boston Red Sox,0.286,0.356,1940
2,3,Pittsburgh Pirates,0.276,0.346,1940
3,4,New York Yankees,0.259,0.344,1940
4,5,Chicago White Sox,0.278,0.34,1940
5,6,St. Louis Cardinals,0.275,0.336,1940
6,7,Philadelphia Athletics,0.262,0.334,1940
7,8,St. Louis Browns,0.263,0.333,1940
8,9,Cleveland Indians,0.265,0.332,1940
9,10,Washington Senators,0.271,0.331,1940
10,11,Chicago Cubs,0.267,0.331,1940
11,12,New York Giants,0.267,0.329,1940
12,13,Cincinnati Reds,0.266,0.327,1940
13,14,Brooklyn Dodgers,0.26,0.327,1940
14,15,Boston Bees,0.256,0.311,1940
15,16,Philadelphia Phillies,0.238,0.3,1940
0,1,Boston Red Sox,0.283,0.366,1941
1,2,St. Louis Browns,0.266,0.36,1941
2,3,Brooklyn Dodgers,0.272,0.347,1941
3,4,New York Yankees,0.269,0.346,1941
4,5,St. Louis Cardinals,0.272,0.34,1941
5,6,Philadelphia Athletics,0.268,0.34,1941
6,7,Detroit Tigers,0.263,0.34,1941
7,8,Pittsburgh Pirates,0.268,0.338,1941
8,9,Washington Senators,0.272,0.331,1941
9,10,Chicago Cubs,0.253,0.327,1941
10,11,New York Giants,0.26,0.326,1941
11,12,Cleveland Indians,0.256,0.323,1941
12,13,Chicago White Sox,0.255,0.322,1941
13,14,Cincinnati Reds,0.247,0.312,1941
14,15,Boston Braves,0.251,0.312,1941
15,16,Philadelphia Phillies,0.244,0.307,1941
0,1,Boston Red Sox,0.276,0.352,1942
1,2,New York Yankees,0.269,0.346,1942
2,3,St. Louis Cardinals,0.268,0.338,1942
3,4,Brooklyn Dodgers,0.264,0.338,1942
4,5,St. Louis Browns,0.259,0.338,1942
5,6,Washington Senators,0.258,0.333,1942
6,7,New York Giants,0.254,0.33,1942
7,8,Chicago Cubs,0.254,0.321,1942
8,9,Cleveland Indians,0.253,0.32,1942
9,10,Pittsburgh Pirates,0.245,0.32,1942
10,11,Chicago White Sox,0.246,0.316,1942
11,12,Detroit Tigers,0.246,0.314,1942
12,13,Philadelphia Athletics,0.249,0.309,1942
13,14,Boston Braves,0.24,0.307,1942
14,15,Cincinnati Reds,0.231,0.299,1942
15,16,Philadelphia Phillies,0.232,0.289,1942
0,1,Brooklyn Dodgers,0.272,0.346,1943
1,2,New York Yankees,0.256,0.337,1943
2,3,Chicago Cubs,0.261,0.336,1943
3,4,Washington Senators,0.254,0.336,1943
4,5,Pittsburgh Pirates,0.262,0.335,1943
5,6,St. Louis Cardinals,0.279,0.334,1943
6,7,Cleveland Indians,0.255,0.329,1943
7,8,Detroit Tigers,0.261,0.324,1943
8,9,Chicago White Sox,0.247,0.322,1943
9,10,St. Louis Browns,0.245,0.322,1943
10,11,Philadelphia Phillies,0.249,0.316,1943
11,12,Cincinnati Reds,0.256,0.315,1943
12,13,New York Giants,0.247,0.313,1943
13,14,Boston Red Sox,0.244,0.308,1943
14,15,Boston Braves,0.233,0.298,1943
15,16,Philadelphia Athletics,0.232,0.294,1943
0,1,St. Louis Cardinals,0.275,0.344,1944
1,2,Pittsburgh Pirates,0.266,0.338,1944
2,3,Boston Red Sox,0.27,0.336,1944
3,4,New York Yankees,0.264,0.333,1944
4,5,Detroit Tigers,0.263,0.332,1944
5,6,Cleveland Indians,0.266,0.331,1944
6,7,Brooklyn Dodgers,0.269,0.331,1944
7,8,New York Giants,0.263,0.33,1944
8,9,Chicago Cubs,0.261,0.328,1944
9,10,Washington Senators,0.261,0.324,1944
10,11,St. Louis Browns,0.252,0.323,1944
11,12,Philadelphia Phillies,0.251,0.316,1944
12,13,Philadelphia Athletics,0.257,0.314,1944
13,14,Cincinnati Reds,0.254,0.313,1944
14,15,Boston Braves,0.246,0.308,1944
15,16,Chicago White Sox,0.247,0.307,1944
0,1,Brooklyn Dodgers,0.271,0.35,1945
1,2,Chicago Cubs,0.277,0.349,1945
2,3,New York Yankees,0.259,0.343,1945
3,4,Pittsburgh Pirates,0.267,0.341,1945
4,5,St. Louis Cardinals,0.273,0.338,1945
5,6,New York Giants,0.269,0.336,1945
6,7,Boston Braves,0.267,0.334,1945
7,8,Boston Red Sox,0.26,0.33,1945
8,9,Washington Senators,0.258,0.33,1945
9,10,Cleveland Indians,0.255,0.326,1945
10,11,Chicago White Sox,0.262,0.326,1945
11,12,Detroit Tigers,0.256,0.324,1945
12,13,St. Louis Browns,0.249,0.316,1945
13,14,Philadelphia Phillies,0.246,0.307,1945
14,15,Philadelphia Athletics,0.245,0.306,1945
15,16,Cincinnati Reds,0.249,0.304,1945
0,1,Boston Red Sox,0.271,0.356,1946
1,2,Brooklyn Dodgers,0.26,0.348,1946
2,3,Detroit Tigers,0.258,0.338,1946
3,4,Boston Braves,0.264,0.337,1946
4,5,St. Louis Cardinals,0.265,0.334,1946
5,6,New York Yankees,0.248,0.334,1946
6,7,Chicago Cubs,0.254,0.331,1946
7,8,Pittsburgh Pirates,0.25,0.328,1946
8,9,Washington Senators,0.26,0.328,1946
9,10,New York Giants,0.255,0.328,1946
10,11,Chicago White Sox,0.257,0.323,1946
11,12,Philadelphia Athletics,0.253,0.318,1946
12,13,Philadelphia Phillies,0.258,0.315,1946
13,14,Cleveland Indians,0.245,0.313,1946
14,15,St. Louis Browns,0.251,0.313,1946
15,16,Cincinnati Reds,0.239,0.307,1946
0,1,Brooklyn Dodgers,0.272,0.364,1947
1,2,Detroit Tigers,0.258,0.353,1947
2,3,New York Yankees,0.271,0.349,1947
3,4,Boston Red Sox,0.265,0.349,1947
4,5,St. Louis Cardinals,0.27,0.347,1947
5,6,Boston Braves,0.275,0.346,1947
6,7,Pittsburgh Pirates,0.261,0.339,1947
7,8,New York Giants,0.271,0.335,1947
8,9,Philadelphia Athletics,0.252,0.333,1947
9,10,Cincinnati Reds,0.259,0.33,1947
10,11,Cleveland Indians,0.259,0.324,1947
11,12,Chicago Cubs,0.259,0.321,1947
12,13,Chicago White Sox,0.256,0.321,1947
13,14,Philadelphia Phillies,0.258,0.321,1947
14,15,St. Louis Browns,0.241,0.32,1947
15,16,Washington Senators,0.241,0.313,1947
0,1,Boston Red Sox,0.274,0.374,1948
1,2,Cleveland Indians,0.282,0.36,1948
2,3,Boston Braves,0.275,0.358,1948
3,4,New York Yankees,0.278,0.356,1948
4,5,Detroit Tigers,0.267,0.353,1948
5,6,Philadelphia Athletics,0.26,0.353,1948
6,7,St. Louis Browns,0.271,0.345,1948
7,8,St. Louis Cardinals,0.263,0.34,1948
8,9,Brooklyn Dodgers,0.261,0.339,1948
9,10,Pittsburgh Pirates,0.263,0.338,1948
10,11,New York Giants,0.256,0.334,1948
11,12,Chicago White Sox,0.251,0.329,1948
12,13,Chicago Cubs,0.262,0.322,1948
13,14,Washington Senators,0.244,0.322,1948
14,15,Philadelphia Phillies,0.259,0.318,1948
15,16,Cincinnati Reds,0.247,0.313,1948
0,1,Boston Red Sox,0.282,0.381,1949
1,2,New York Yankees,0.269,0.362,1949
2,3,Detroit Tigers,0.267,0.361,1949
3,4,Philadelphia Athletics,0.26,0.361,1949
4,5,Brooklyn Dodgers,0.274,0.354,1949
5,6,St. Louis Cardinals,0.277,0.348,1949
6,7,Chicago White Sox,0.257,0.347,1949
7,8,Boston Braves,0.258,0.345,1949
8,9,New York Giants,0.261,0.34,1949
9,10,Cleveland Indians,0.26,0.339,1949
10,11,St. Louis Browns,0.254,0.339,1949
11,12,Washington Senators,0.254,0.333,1949
12,13,Pittsburgh Pirates,0.259,0.332,1949
13,14,Philadelphia Phillies,0.254,0.325,1949
14,15,Cincinnati Reds,0.26,0.316,1949
15,16,Chicago Cubs,0.256,0.312,1949
0,1,Boston Red Sox,0.302,0.385,1950
1,2,Detroit Tigers,0.282,0.369,1950
2,3,New York Yankees,0.282,0.367,1950
3,4,Cleveland Indians,0.269,0.358,1950
4,5,Philadelphia Athletics,0.261,0.349,1950
5,6,Brooklyn Dodgers,0.272,0.349,1950
6,7,Washington Senators,0.26,0.347,1950
7,8,New York Giants,0.258,0.342,1950
8,9,Boston Braves,0.263,0.342,1950
9,10,St. Louis Cardinals,0.259,0.339,1950
10,11,Pittsburgh Pirates,0.264,0.338,1950
11,12,St. Louis Browns,0.246,0.337,1950
12,13,Philadelphia Phillies,0.265,0.334,1950
13,14,Chicago White Sox,0.26,0.333,1950
14,15,Cincinnati Reds,0.26,0.327,1950
15,16,Chicago Cubs,0.248,0.315,1950
0,1,Boston Red Sox,0.266,0.358,1951
1,2,Brooklyn Dodgers,0.275,0.352,1951
2,3,Philadelphia Athletics,0.262,0.349,1951
3,4,New York Yankees,0.269,0.349,1951
4,5,Chicago White Sox,0.27,0.348,1951
5,6,New York Giants,0.26,0.347,1951
6,7,St. Louis Cardinals,0.264,0.339,1951
7,8,Detroit Tigers,0.265,0.337,1951
8,9,Boston Braves,0.262,0.336,1951
9,10,Cleveland Indians,0.256,0.336,1951
10,11,Washington Senators,0.263,0.336,1951
11,12,Pittsburgh Pirates,0.258,0.331,1951
12,13,Philadelphia Phillies,0.26,0.326,1951
13,14,St. Louis Browns,0.247,0.317,1951
14,15,Chicago Cubs,0.25,0.315,1951
15,16,Cincinnati Reds,0.248,0.304,1951
0,1,Brooklyn Dodgers,0.262,0.348,1952
1,2,Philadelphia Athletics,0.253,0.343,1952
2,3,Cleveland Indians,0.262,0.342,1952
3,4,New York Yankees,0.267,0.341,1952
4,5,St. Louis Cardinals,0.267,0.34,1952
5,6,Philadelphia Phillies,0.26,0.332,1952
6,7,New York Giants,0.256,0.329,1952
7,8,Boston Red Sox,0.255,0.328,1952
8,9,Chicago White Sox,0.252,0.327,1952
9,10,St. Louis Browns,0.25,0.322,1952
10,11,Chicago Cubs,0.264,0.321,1952
11,12,Detroit Tigers,0.243,0.318,1952
12,13,Washington Senators,0.239,0.317,1952
13,14,Cincinnati Reds,0.249,0.314,1952
14,15,Boston Braves,0.233,0.301,1952
15,16,Pittsburgh Pirates,0.231,0.3,1952
0,1,Brooklyn Dodgers,0.285,0.366,1953
1,2,New York Yankees,0.273,0.358,1953
2,3,Cleveland Indians,0.27,0.349,1953
3,4,St. Louis Cardinals,0.273,0.347,1953
4,5,Washington Senators,0.263,0.343,1953
5,6,Chicago White Sox,0.258,0.341,1953
6,7,New York Giants,0.271,0.336,1953
7,8,Philadelphia Phillies,0.265,0.335,1953
8,9,Boston Red Sox,0.264,0.332,1953
9,10,Detroit Tigers,0.266,0.331,1953
10,11,Chicago Cubs,0.26,0.328,1953
11,12,Milwaukee Braves,0.266,0.325,1953
12,13,Cincinnati Reds,0.261,0.325,1953
13,14,Philadelphia Athletics,0.256,0.321,1953
14,15,Pittsburgh Pirates,0.247,0.319,1953
15,16,St. Louis Browns,0.249,0.317,1953
0,1,St. Louis Cardinals,0.281,0.35,1954
1,2,Brooklyn Dodgers,0.27,0.349,1954
2,3,New York Yankees,0.268,0.348,1954
3,4,Chicago White Sox,0.267,0.347,1954
4,5,Boston Red Sox,0.266,0.345,1954
5,6,Philadelphia Phillies,0.267,0.341,1954
6,7,Cleveland Indians,0.262,0.341,1954
7,8,Cincinnati Redlegs,0.262,0.333,1954
8,9,New York Giants,0.264,0.332,1954
9,10,Milwaukee Braves,0.265,0.327,1954
10,11,Washington Senators,0.246,0.325,1954
11,12,Chicago Cubs,0.263,0.325,1954
12,13,Pittsburgh Pirates,0.248,0.323,1954
13,14,Detroit Tigers,0.258,0.322,1954
14,15,Baltimore Orioles,0.251,0.313,1954
15,16,Philadelphia Athletics,0.236,0.305,1954
0,1,Brooklyn Dodgers,0.271,0.356,1955
1,2,Boston Red Sox,0.264,0.351,1955
2,3,Cleveland Indians,0.257,0.349,1955
3,4,Detroit Tigers,0.266,0.344,1955
4,5,Chicago White Sox,0.268,0.344,1955
5,6,Cincinnati Redlegs,0.27,0.341,1955
6,7,New York Yankees,0.26,0.34,1955
7,8,Philadelphia Phillies,0.255,0.34,1955
8,9,Milwaukee Braves,0.261,0.326,1955
9,10,New York Giants,0.26,0.325,1955
10,11,Washington Senators,0.248,0.322,1955
11,12,Kansas City Athletics,0.261,0.321,1955
12,13,St. Louis Cardinals,0.261,0.321,1955
13,14,Baltimore Orioles,0.24,0.314,1955
14,15,Pittsburgh Pirates,0.244,0.308,1955
15,16,Chicago Cubs,0.247,0.305,1955
0,1,Boston Red Sox,0.275,0.362,1956
1,2,Detroit Tigers,0.279,0.356,1956
2,3,Chicago White Sox,0.267,0.349,1956
3,4,New York Yankees,0.27,0.347,1956
4,5,Brooklyn Dodgers,0.258,0.342,1956
5,6,Washington Senators,0.25,0.341,1956
6,7,Cincinnati Redlegs,0.266,0.336,1956
7,8,Cleveland Indians,0.244,0.335,1956
8,9,St. Louis Cardinals,0.268,0.333,1956
9,10,Philadelphia Phillies,0.252,0.329,1956
10,11,Milwaukee Braves,0.259,0.323,1956
11,12,Baltimore Orioles,0.244,0.32,1956
12,13,Kansas City Athletics,0.252,0.315,1956
13,14,Pittsburgh Pirates,0.257,0.307,1956
14,15,Chicago Cubs,0.244,0.302,1956
15,16,New York Giants,0.244,0.299,1956
0,1,Chicago White Sox,0.26,0.344,1957
1,2,Boston Red Sox,0.262,0.341,1957
2,3,New York Yankees,0.268,0.339,1957
3,4,Cincinnati Redlegs,0.269,0.338,1957
4,5,St. Louis Cardinals,0.274,0.333,1957
5,6,Cleveland Indians,0.252,0.329,1957
6,7,Milwaukee Braves,0.269,0.327,1957
7,8,Brooklyn Dodgers,0.253,0.325,1957
8,9,Detroit Tigers,0.257,0.323,1957
9,10,Philadelphia Phillies,0.25,0.322,1957
10,11,Baltimore Orioles,0.252,0.318,1957
11,12,Washington Senators,0.244,0.316,1957
12,13,Pittsburgh Pirates,0.268,0.315,1957
13,14,New York Giants,0.252,0.311,1957
14,15,Chicago Cubs,0.244,0.305,1957
15,16,Kansas City Athletics,0.244,0.295,1957
0,1,Philadelphia Phillies,0.266,0.339,1958
1,2,Boston Red Sox,0.256,0.338,1958
2,3,New York Yankees,0.268,0.336,1958
3,4,San Francisco Giants,0.263,0.331,1958
4,5,Cincinnati Redlegs,0.258,0.331,1958
5,6,Chicago Cubs,0.265,0.33,1958
6,7,Milwaukee Braves,0.266,0.329,1958
7,8,St. Louis Cardinals,0.261,0.329,1958
8,9,Chicago White Sox,0.257,0.327,1958
9,10,Detroit Tigers,0.266,0.326,1958
10,11,Cleveland Indians,0.258,0.325,1958
11,12,Pittsburgh Pirates,0.264,0.317,1958
12,13,Los Angeles Dodgers,0.251,0.317,1958
13,14,Baltimore Orioles,0.241,0.308,1958
14,15,Washington Senators,0.24,0.307,1958
15,16,Kansas City Athletics,0.247,0.307,1958
0,1,Cincinnati Redlegs,0.274,0.337,1959
1,2,Detroit Tigers,0.258,0.335,1959
2,3,Boston Red Sox,0.256,0.335,1959
3,4,Los Angeles Dodgers,0.257,0.334,1959
4,5,St. Louis Cardinals,0.269,0.331,1959
5,6,Chicago White Sox,0.25,0.327,1959
6,7,Milwaukee Braves,0.265,0.326,1959
7,8,Kansas City Athletics,0.263,0.326,1959
8,9,San Francisco Giants,0.261,0.322,1959
9,10,Cleveland Indians,0.263,0.321,1959
10,11,Pittsburgh Pirates,0.263,0.32,1959
11,12,New York Yankees,0.26,0.319,1959
12,13,Chicago Cubs,0.249,0.317,1959
13,14,Philadelphia Phillies,0.242,0.312,1959
14,15,Baltimore Orioles,0.238,0.31,1959
15,16,Washington Senators,0.237,0.308,1959
0,1,Chicago White Sox,0.27,0.345,1960
1,2,Pittsburgh Pirates,0.276,0.335,1960
2,3,Boston Red Sox,0.261,0.333,1960
3,4,Baltimore Orioles,0.253,0.332,1960
4,5,New York Yankees,0.26,0.329,1960
5,6,Cleveland Indians,0.267,0.325,1960
6,7,Los Angeles Dodgers,0.255,0.324,1960
7,8,Detroit Tigers,0.239,0.324,1960
8,9,Washington Senators,0.244,0.324,1960
9,10,Milwaukee Braves,0.265,0.323,1960
10,11,St. Louis Cardinals,0.254,0.321,1960
11,12,Cincinnati Reds,0.25,0.318,1960
12,13,San Francisco Giants,0.255,0.317,1960
13,14,Kansas City Athletics,0.249,0.316,1960
14,15,Chicago Cubs,0.243,0.313,1960
15,16,Philadelphia Phillies,0.239,0.302,1960
0,1,Detroit Tigers,0.266,0.347,1961
1,2,Los Angeles Dodgers,0.262,0.338,1961
2,3,Chicago White Sox,0.265,0.335,1961
3,4,St. Louis Cardinals,0.271,0.334,1961
4,5,Boston Red Sox,0.254,0.334,1961
5,6,Los Angeles Angels,0.245,0.331,1961
6,7,New York Yankees,0.263,0.33,1961
7,8,San Francisco Giants,0.264,0.329,1961
8,9,Pittsburgh Pirates,0.273,0.328,1961
9,10,Milwaukee Braves,0.258,0.328,1961
10,11,Cleveland Indians,0.266,0.326,1961
11,12,Minnesota Twins,0.25,0.326,1961
12,13,Baltimore Orioles,0.254,0.326,1961
13,14,Chicago Cubs,0.255,0.325,1961
14,15,Cincinnati Reds,0.27,0.325,1961
15,16,Kansas City Athletics,0.247,0.32,1961
16,17,Washington Senators,0.244,0.315,1961
17,18,Philadelphia Phillies,0.243,0.31,1961
0,1,San Francisco Giants,0.278,0.341,1962
1,2,Minnesota Twins,0.26,0.338,1962
2,3,Los Angeles Dodgers,0.268,0.337,1962
3,4,New York Yankees,0.267,0.337,1962
4,5,St. Louis Cardinals,0.271,0.335,1962
5,6,Chicago White Sox,0.257,0.334,1962
6,7,Kansas City Athletics,0.263,0.332,1962
7,8,Cincinnati Reds,0.27,0.332,1962
8,9,Philadelphia Phillies,0.26,0.33,1962
9,10,Detroit Tigers,0.248,0.33,1962
10,11,Milwaukee Braves,0.252,0.326,1962
11,12,Los Angeles Angels,0.25,0.325,1962
12,13,Boston Red Sox,0.258,0.324,1962
13,14,Pittsburgh Pirates,0.268,0.321,1962
14,15,New York Mets,0.24,0.318,1962
15,16,Chicago Cubs,0.253,0.317,1962
16,17,Baltimore Orioles,0.248,0.314,1962
17,18,Cleveland Indians,0.245,0.312,1962
18,19,Houston Colt 45's,0.246,0.31,1962
19,20,Washington Senators,0.25,0.308,1962
0,1,Detroit Tigers,0.252,0.327,1963
1,2,St. Louis Cardinals,0.271,0.326,1963
2,3,Minnesota Twins,0.255,0.325,1963
3,4,Chicago White Sox,0.25,0.323,1963
4,5,San Francisco Giants,0.258,0.316,1963
5,6,Kansas City Athletics,0.247,0.313,1963
6,7,Milwaukee Braves,0.244,0.312,1963
7,8,Boston Red Sox,0.252,0.312,1963
8,9,Baltimore Orioles,0.249,0.31,1963
9,10,Cincinnati Reds,0.246,0.31,1963
10,11,Los Angeles Angels,0.25,0.309,1963
11,12,Pittsburgh Pirates,0.25,0.309,1963
12,13,Los Angeles Dodgers,0.251,0.309,1963
13,14,New York Yankees,0.252,0.309,1963
14,15,Philadelphia Phillies,0.252,0.306,1963
15,16,Cleveland Indians,0.239,0.301,1963
16,17,Chicago Cubs,0.238,0.297,1963
17,18,Washington Senators,0.227,0.293,1963
18,19,New York Mets,0.219,0.285,1963
19,20,Houston Colt 45's,0.22,0.283,1963
0,1,Milwaukee Braves,0.272,0.333,1964
1,2,St. Louis Cardinals,0.272,0.324,1964
2,3,Boston Red Sox,0.258,0.322,1964
3,4,Minnesota Twins,0.252,0.322,1964
4,5,Chicago White Sox,0.247,0.32,1964
5,6,Detroit Tigers,0.253,0.319,1964
6,7,New York Yankees,0.253,0.317,1964
7,8,Baltimore Orioles,0.248,0.316,1964
8,9,Pittsburgh Pirates,0.264,0.315,1964
9,10,Philadelphia Phillies,0.258,0.315,1964
10,11,Chicago Cubs,0.251,0.314,1964
11,12,Cleveland Indians,0.247,0.312,1964
